Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
28/02/2026,Rennes,Toulouse,,,,,
28/02/2026,Monaco,Angers,,,,,
28/02/2026,Le Havre,Paris SG,,,,,
01/03/2026,Paris FC,Nice,,,,,
01/03/2026,Lille,Nantes,,,,,
01/03/2026,Lorient,Auxerre,,,,,
01/03/2026,Metz,Brest,,,,,
01/03/2026,Marseille,Lyon,,,,,
06/03/2026,Paris SG,Monaco,,,,,
07/03/2026,Nantes,Angers,,,,,
07/03/2026,Auxerre,Strasbourg,,,,,
07/03/2026,Toulouse,Marseille,,,,,
08/03/2026,Lens,Metz,,,,,
08/03/2026,Brest,Le Havre,,,,,
08/03/2026,Lille,Lorient,,,,,
08/03/2026,Nice,Rennes,,,,,
08/03/2026,Lyon,Paris FC,,,,,
14/03/2026,Angers,Nice,,,,,
14/03/2026,Le Havre,Lyon,,,,,
14/03/2026,Lorient,Lens,,,,,
14/03/2026,Marseille,Auxerre,,,,,
14/03/2026,Metz,Toulouse,,,,,
14/03/2026,Monaco,Brest,,,,,
14/03/2026,Paris SG,Nantes,,,,,
14/03/2026,Rennes,Lille,,,,,
14/03/2026,Strasbourg,Paris FC,,,,,
21/03/2026,Auxerre,Brest,,,,,
21/03/2026,Lens,Angers,,,,,
21/03/2026,Lyon,Monaco,,,,,
21/03/2026,Marseille,Lille,,,,,
21/03/2026,Nantes,Strasbourg,,,,,
21/03/2026,Nice,Paris SG,,,,,
21/03/2026,Paris FC,Le Havre,,,,,
21/03/2026,Rennes,Metz,,,,,
21/03/2026,Toulouse,Lorient,,,,,
04/04/2026,Angers,Lyon,,,,,
04/04/2026,Brest,Rennes,,,,,
04/04/2026,Le Havre,Auxerre,,,,,
04/04/2026,Lille,Lens,,,,,
04/04/2026,Lorient,Paris FC,,,,,
04/04/2026,Metz,Nantes,,,,,
04/04/2026,Monaco,Marseille,,,,,
04/04/2026,Paris SG,Toulouse,,,,,
04/04/2026,Strasbourg,Nice,,,,,
11/04/2026,Auxerre,Nantes,,,,,
11/04/2026,Brest,Strasbourg,,,,,
11/04/2026,Lens,Paris SG,,,,,
11/04/2026,Lyon,Lorient,,,,,
11/04/2026,Marseille,Metz,,,,,
11/04/2026,Nice,Le Havre,,,,,
11/04/2026,Paris FC,Monaco,,,,,
11/04/2026,Rennes,Angers,,,,,
11/04/2026,Toulouse,Lille,,,,,
18/04/2026,Angers,Le Havre,,,,,
18/04/2026,Lens,Toulouse,,,,,
18/04/2026,Lille,Nice,,,,,
18/04/2026,Lorient,Marseille,,,,,
18/04/2026,Metz,Paris FC,,,,,
18/04/2026,Monaco,Auxerre,,,,,
18/04/2026,Nantes,Brest,,,,,
18/04/2026,Paris SG,Lyon,,,,,
18/04/2026,Strasbourg,Rennes,,,,,
25/04/2026,Angers,Paris SG,,,,,
25/04/2026,Brest,Lens,,,,,
25/04/2026,Le Havre,Metz,,,,,
25/04/2026,Lorient,Strasbourg,,,,,
25/04/2026,Lyon,Auxerre,,,,,
25/04/2026,Marseille,Nice,,,,,
25/04/2026,Paris FC,Lille,,,,,
25/04/2026,Rennes,Nantes,,,,,
25/04/2026,Toulouse,Monaco,,,,,
02/05/2026,Auxerre,Angers,,,,,
02/05/2026,Lille,Le Havre,,,,,
02/05/2026,Lyon,Rennes,,,,,
02/05/2026,Metz,Monaco,,,,,
02/05/2026,Nantes,Marseille,,,,,
02/05/2026,Nice,Lens,,,,,
02/05/2026,Paris FC,Brest,,,,,
02/05/2026,Paris SG,Lorient,,,,,
02/05/2026,Strasbourg,Toulouse,,,,,
08/05/2026,Angers,Strasbourg,,,,,
08/05/2026,Auxerre,Nice,,,,,
08/05/2026,Le Havre,Marseille,,,,,
08/05/2026,Lens,Nantes,,,,,
08/05/2026,Metz,Lorient,,,,,
08/05/2026,Monaco,Lille,,,,,
08/05/2026,Paris SG,Brest,,,,,
08/05/2026,Rennes,Paris FC,,,,,
08/05/2026,Toulouse,Lyon,,,,,
15/05/2026,Brest,Angers,,,,,
15/05/2026,Lille,Auxerre,,,,,
15/05/2026,Lorient,Le Havre,,,,,
15/05/2026,Lyon,Lens,,,,,
15/05/2026,Marseille,Rennes,,,,,
15/05/2026,Nantes,Toulouse,,,,,
15/05/2026,Nice,Metz,,,,,
15/05/2026,Paris FC,Paris SG,,,,,
15/05/2026,Strasbourg,Monaco,,,,,
