Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
04/03/2026,Hamburger SV,Leverkusen,,,,,
28/02/2026,TSG Hoffenheim,St Pauli,,,,,
28/02/2026,M'gladbach,Union Berlin,,,,,
28/02/2026,SV Werder Bremen,1. FC Heidenheim 1846,,,,,
28/02/2026,Leverkusen,Mainz,,,,,
28/02/2026,Borussia Dortmund,Bayern Munich,,,,,
01/03/2026,Stuttgart,VfL Wolfsburg,,,,,
01/03/2026,Ein Frankfurt,Freiburg,,,,,
01/03/2026,Hamburger SV,RB Leipzig,,,,,
06/03/2026,Bayern Munich,M'gladbach,,,,,
07/03/2026,1. FC Heidenheim 1846,TSG Hoffenheim,,,,,
07/03/2026,VfL Wolfsburg,Hamburger SV,,,,,
07/03/2026,RB Leipzig,FC Augsburg,,,,,
07/03/2026,Mainz,Stuttgart,,,,,
07/03/2026,Freiburg,Leverkusen,,,,,
07/03/2026,FC Koln,Borussia Dortmund,,,,,
08/03/2026,St Pauli,Ein Frankfurt,,,,,
08/03/2026,Union Berlin,SV Werder Bremen,,,,,
13/03/2026,M'gladbach,St Pauli,,,,,
14/03/2026,TSG Hoffenheim,VfL Wolfsburg,,,,,
14/03/2026,Borussia Dortmund,FC Augsburg,,,,,
14/03/2026,Ein Frankfurt,1. FC Heidenheim 1846,,,,,
14/03/2026,Leverkusen,Bayern Munich,,,,,
14/03/2026,Hamburger SV,FC Koln,,,,,
15/03/2026,SV Werder Bremen,Mainz,,,,,
15/03/2026,Freiburg,Union Berlin,,,,,
15/03/2026,Stuttgart,RB Leipzig,,,,,
20/03/2026,RB Leipzig,TSG Hoffenheim,,,,,
21/03/2026,FC Koln,M'gladbach,,,,,
21/03/2026,1. FC Heidenheim 1846,Leverkusen,,,,,
21/03/2026,VfL Wolfsburg,SV Werder Bremen,,,,,
21/03/2026,Bayern Munich,Union Berlin,,,,,
21/03/2026,Borussia Dortmund,Hamburger SV,,,,,
22/03/2026,Mainz,Ein Frankfurt,,,,,
22/03/2026,St Pauli,Freiburg,,,,,
22/03/2026,FC Augsburg,Stuttgart,,,,,
04/04/2026,Hamburger SV,FC Augsburg,,,,,
04/04/2026,TSG Hoffenheim,Mainz,,,,,
04/04/2026,Union Berlin,St Pauli,,,,,
04/04/2026,M'gladbach,1. FC Heidenheim 1846,,,,,
04/04/2026,Stuttgart,Borussia Dortmund,,,,,
04/04/2026,SV Werder Bremen,RB Leipzig,,,,,
04/04/2026,Freiburg,Bayern Munich,,,,,
04/04/2026,Ein Frankfurt,FC Koln,,,,,
04/04/2026,Leverkusen,VfL Wolfsburg,,,,,
11/04/2026,FC Koln,SV Werder Bremen,,,,,
11/04/2026,1. FC Heidenheim 1846,Union Berlin,,,,,
11/04/2026,St Pauli,Bayern Munich,,,,,
11/04/2026,FC Augsburg,TSG Hoffenheim,,,,,
11/04/2026,VfL Wolfsburg,Ein Frankfurt,,,,,
11/04/2026,Stuttgart,Hamburger SV,,,,,
11/04/2026,RB Leipzig,M'gladbach,,,,,
11/04/2026,Mainz,Freiburg,,,,,
11/04/2026,Borussia Dortmund,Leverkusen,,,,,
18/04/2026,TSG Hoffenheim,Borussia Dortmund,,,,,
18/04/2026,St Pauli,FC Koln,,,,,
18/04/2026,Union Berlin,VfL Wolfsburg,,,,,
18/04/2026,M'gladbach,Mainz,,,,,
18/04/2026,SV Werder Bremen,Hamburger SV,,,,,
18/04/2026,Freiburg,1. FC Heidenheim 1846,,,,,
18/04/2026,Ein Frankfurt,RB Leipzig,,,,,
18/04/2026,Leverkusen,FC Augsburg,,,,,
18/04/2026,Bayern Munich,Stuttgart,,,,,
25/04/2026,Hamburger SV,TSG Hoffenheim,,,,,
25/04/2026,FC Koln,Leverkusen,,,,,
25/04/2026,1. FC Heidenheim 1846,St Pauli,,,,,
25/04/2026,FC Augsburg,Ein Frankfurt,,,,,
25/04/2026,VfL Wolfsburg,M'gladbach,,,,,
25/04/2026,Stuttgart,SV Werder Bremen,,,,,
25/04/2026,RB Leipzig,Union Berlin,,,,,
25/04/2026,Mainz,Bayern Munich,,,,,
25/04/2026,Borussia Dortmund,Freiburg,,,,,
02/05/2026,TSG Hoffenheim,Stuttgart,,,,,
02/05/2026,St Pauli,Mainz,,,,,
02/05/2026,Union Berlin,FC Koln,,,,,
02/05/2026,M'gladbach,Borussia Dortmund,,,,,
02/05/2026,SV Werder Bremen,FC Augsburg,,,,,
02/05/2026,Freiburg,VfL Wolfsburg,,,,,
02/05/2026,Ein Frankfurt,Hamburger SV,,,,,
02/05/2026,Leverkusen,RB Leipzig,,,,,
02/05/2026,Bayern Munich,1. FC Heidenheim 1846,,,,,
09/05/2026,Hamburger SV,Freiburg,,,,,
09/05/2026,FC Koln,1. FC Heidenheim 1846,,,,,
09/05/2026,TSG Hoffenheim,SV Werder Bremen,,,,,
09/05/2026,FC Augsburg,M'gladbach,,,,,
09/05/2026,VfL Wolfsburg,Bayern Munich,,,,,
09/05/2026,Stuttgart,Leverkusen,,,,,
09/05/2026,RB Leipzig,St Pauli,,,,,
09/05/2026,Mainz,Union Berlin,,,,,
09/05/2026,Borussia Dortmund,Ein Frankfurt,,,,,
16/05/2026,1. FC Heidenheim 1846,Mainz,,,,,
16/05/2026,St Pauli,VfL Wolfsburg,,,,,
16/05/2026,Union Berlin,FC Augsburg,,,,,
16/05/2026,M'gladbach,TSG Hoffenheim,,,,,
16/05/2026,SV Werder Bremen,Borussia Dortmund,,,,,
16/05/2026,Freiburg,RB Leipzig,,,,,
16/05/2026,Ein Frankfurt,Stuttgart,,,,,
16/05/2026,Leverkusen,Hamburger SV,,,,,
16/05/2026,Bayern Munich,FC Koln,,,,,
