Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
04/03/2026,Rayo Vallecano,Oviedo,,,,,
28/02/2026,Rayo Vallecano,Ath Bilbao,,,,,
28/02/2026,FC Barcelona,Villarreal,,,,,
28/02/2026,RCD Mallorca,Sociedad,,,,,
28/02/2026,Oviedo,Ath Madrid,,,,,
01/03/2026,Elche CF,Espanol,,,,,
01/03/2026,Valencia CF,CA Osasuna,,,,,
01/03/2026,Betis,Sevilla FC,,,,,
01/03/2026,Girona FC,Celta,,,,,
02/03/2026,Real Madrid,Getafe CF,,,,,
06/03/2026,CA Osasuna,RCD Mallorca,,,,,
07/03/2026,Getafe CF,Betis,,,,,
07/03/2026,Levante UD,Girona FC,,,,,
07/03/2026,Ath Madrid,Sociedad,,,,,
07/03/2026,Celta,Real Madrid,,,,,
08/03/2026,Villarreal,Elche CF,,,,,
08/03/2026,Ath Bilbao,FC Barcelona,,,,,
08/03/2026,Sevilla FC,Rayo Vallecano,,,,,
08/03/2026,Valencia CF,Alaves,,,,,
09/03/2026,Espanol,Oviedo,,,,,
13/03/2026,Alaves,Villarreal,,,,,
14/03/2026,Girona FC,Ath Bilbao,,,,,
14/03/2026,Ath Madrid,Getafe CF,,,,,
14/03/2026,Oviedo,Valencia CF,,,,,
14/03/2026,Real Madrid,Elche CF,,,,,
15/03/2026,RCD Mallorca,Espanol,,,,,
15/03/2026,FC Barcelona,Sevilla FC,,,,,
15/03/2026,Betis,Celta,,,,,
15/03/2026,Sociedad,CA Osasuna,,,,,
16/03/2026,Rayo Vallecano,Levante UD,,,,,
20/03/2026,Villarreal,Sociedad,,,,,
21/03/2026,Elche CF,RCD Mallorca,,,,,
21/03/2026,Espanol,Getafe CF,,,,,
21/03/2026,Levante UD,Oviedo,,,,,
21/03/2026,CA Osasuna,Girona FC,,,,,
21/03/2026,Sevilla FC,Valencia CF,,,,,
22/03/2026,FC Barcelona,Rayo Vallecano,,,,,
22/03/2026,Celta,Alaves,,,,,
22/03/2026,Ath Bilbao,Betis,,,,,
22/03/2026,Real Madrid,Ath Madrid,,,,,
05/04/2026,Alaves,CA Osasuna,,,,,
05/04/2026,Ath Madrid,FC Barcelona,,,,,
05/04/2026,Betis,Espanol,,,,,
05/04/2026,Girona FC,Villarreal,,,,,
05/04/2026,RCD Mallorca,Real Madrid,,,,,
05/04/2026,Oviedo,Sevilla FC,,,,,
05/04/2026,Getafe CF,Ath Bilbao,,,,,
05/04/2026,Valencia CF,Celta,,,,,
05/04/2026,Rayo Vallecano,Elche CF,,,,,
05/04/2026,Sociedad,Levante UD,,,,,
12/04/2026,Ath Bilbao,Villarreal,,,,,
12/04/2026,FC Barcelona,Espanol,,,,,
12/04/2026,Celta,Oviedo,,,,,
12/04/2026,Elche CF,Valencia CF,,,,,
12/04/2026,RCD Mallorca,Rayo Vallecano,,,,,
12/04/2026,Sociedad,Alaves,,,,,
12/04/2026,Sevilla FC,Ath Madrid,,,,,
12/04/2026,CA Osasuna,Betis,,,,,
12/04/2026,Levante UD,Getafe CF,,,,,
12/04/2026,Real Madrid,Girona FC,,,,,
22/04/2026,Ath Bilbao,CA Osasuna,,,,,
22/04/2026,FC Barcelona,Celta,,,,,
22/04/2026,Levante UD,Sevilla FC,,,,,
22/04/2026,RCD Mallorca,Valencia CF,,,,,
22/04/2026,Oviedo,Villarreal,,,,,
22/04/2026,Real Madrid,Alaves,,,,,
22/04/2026,Elche CF,Ath Madrid,,,,,
22/04/2026,Girona FC,Betis,,,,,
22/04/2026,Rayo Vallecano,Espanol,,,,,
22/04/2026,Sociedad,Getafe CF,,,,,
26/04/2026,Alaves,RCD Mallorca,,,,,
26/04/2026,Betis,Real Madrid,,,,,
26/04/2026,Espanol,Levante UD,,,,,
26/04/2026,CA Osasuna,Sevilla FC,,,,,
26/04/2026,Rayo Vallecano,Sociedad,,,,,
26/04/2026,Ath Madrid,Ath Bilbao,,,,,
26/04/2026,Getafe CF,FC Barcelona,,,,,
26/04/2026,Villarreal,Celta,,,,,
26/04/2026,Oviedo,Elche CF,,,,,
26/04/2026,Valencia CF,Girona FC,,,,,
03/05/2026,Alaves,Ath Bilbao,,,,,
03/05/2026,Betis,Oviedo,,,,,
03/05/2026,Celta,Elche CF,,,,,
03/05/2026,Espanol,Real Madrid,,,,,
03/05/2026,Getafe CF,Rayo Vallecano,,,,,
03/05/2026,Girona FC,RCD Mallorca,,,,,
03/05/2026,Valencia CF,Ath Madrid,,,,,
03/05/2026,CA Osasuna,FC Barcelona,,,,,
03/05/2026,Villarreal,Levante UD,,,,,
03/05/2026,Sevilla FC,Sociedad,,,,,
10/05/2026,Ath Bilbao,Valencia CF,,,,,
10/05/2026,Ath Madrid,Celta,,,,,
10/05/2026,FC Barcelona,Real Madrid,,,,,
10/05/2026,Levante UD,CA Osasuna,,,,,
10/05/2026,RCD Mallorca,Villarreal,,,,,
10/05/2026,Elche CF,Alaves,,,,,
10/05/2026,Sociedad,Betis,,,,,
10/05/2026,Sevilla FC,Espanol,,,,,
10/05/2026,Oviedo,Getafe CF,,,,,
10/05/2026,Rayo Vallecano,Girona FC,,,,,
13/05/2026,Alaves,FC Barcelona,,,,,
13/05/2026,Betis,Elche CF,,,,,
13/05/2026,Celta,Levante UD,,,,,
13/05/2026,Getafe CF,RCD Mallorca,,,,,
13/05/2026,Girona FC,Sociedad,,,,,
13/05/2026,Espanol,Ath Bilbao,,,,,
13/05/2026,CA Osasuna,Ath Madrid,,,,,
13/05/2026,Valencia CF,Rayo Vallecano,,,,,
13/05/2026,Villarreal,Sevilla FC,,,,,
13/05/2026,Real Madrid,Oviedo,,,,,
17/05/2026,Ath Bilbao,Celta,,,,,
17/05/2026,Ath Madrid,Girona FC,,,,,
17/05/2026,FC Barcelona,Betis,,,,,
17/05/2026,Elche CF,Getafe CF,,,,,
17/05/2026,Levante UD,RCD Mallorca,,,,,
17/05/2026,Rayo Vallecano,Villarreal,,,,,
17/05/2026,Sociedad,Valencia CF,,,,,
17/05/2026,Oviedo,Alaves,,,,,
17/05/2026,CA Osasuna,Espanol,,,,,
17/05/2026,Sevilla FC,Real Madrid,,,,,
24/05/2026,Alaves,Rayo Vallecano,,,,,
24/05/2026,Betis,Levante UD,,,,,
24/05/2026,Celta,Sevilla FC,,,,,
24/05/2026,Espanol,Sociedad,,,,,
24/05/2026,Getafe CF,CA Osasuna,,,,,
24/05/2026,RCD Mallorca,Oviedo,,,,,
24/05/2026,Real Madrid,Ath Bilbao,,,,,
24/05/2026,Villarreal,Ath Madrid,,,,,
24/05/2026,Valencia CF,FC Barcelona,,,,,
24/05/2026,Girona FC,Elche CF,,,,,
