Date,Match,Actual_Score,Bet_On,Odds,Model_Prob,Edge_EV,Result,Profit
2023-08-19,Frosinone vs Napoli,1-3,Away,1.56,0.688,0.073,WON,0.56
2023-08-19,Inter vs Monza,2-0,Draw,5.16,0.211,0.087,LOST,-1.0
2023-08-19,Genoa vs Fiorentina,1-4,Away,2.51,0.432,0.085,WON,1.51
2023-08-20,Lecce vs Lazio,2-1,Away,2.19,0.492,0.076,LOST,-1.0
2023-08-26,Frosinone vs Atalanta,2-1,Draw,4.25,0.278,0.182,LOST,-1.0
2023-08-26,Monza vs Empoli,2-0,Home,1.95,0.543,0.059,WON,0.95
2023-08-26,Milan vs Torino,4-1,Away,5.25,0.233,0.221,LOST,-1.0
2023-08-26,Verona vs Roma,2-1,Away,1.92,0.641,0.231,LOST,-1.0
2023-08-27,Juventus vs Bologna,1-1,Draw,3.86,0.283,0.091,WON,2.86
2023-08-27,Lazio vs Genoa,0-1,Draw,3.74,0.292,0.093,LOST,-1.0
2023-08-27,Napoli vs Sassuolo,2-0,Draw,5.84,0.183,0.07,LOST,-1.0
2023-09-01,Roma vs Milan,1-2,Away,2.79,0.383,0.069,WON,1.79
2023-09-02,Bologna vs Cagliari,2-1,Home,1.81,0.584,0.056,LOST,-1.0
2023-09-02,Udinese vs Frosinone,0-0,Home,1.93,0.55,0.061,WON,0.93
2023-09-02,Atalanta vs Monza,3-0,Draw,4.09,0.294,0.204,WON,3.09
2023-09-02,Napoli vs Lazio,1-2,Draw,4.18,0.28,0.171,LOST,-1.0
2023-09-03,Inter vs Fiorentina,4-0,Draw,3.99,0.271,0.08,LOST,-1.0
2023-09-16,Juventus vs Lazio,3-1,Draw,3.63,0.291,0.056,LOST,-1.0
2023-09-17,Cagliari vs Udinese,0-0,Home,3.06,0.375,0.146,LOST,-1.0
2023-09-17,Roma vs Empoli,7-0,Away,9.23,0.351,2.244,LOST,-1.0
2023-09-17,Fiorentina vs Atalanta,3-2,Home,2.71,0.684,0.855,WON,1.71
2023-09-17,Monza vs Lecce,1-1,Away,3.17,0.373,0.182,LOST,-1.0
2023-09-22,Salernitana vs Frosinone,1-1,Draw,3.36,0.314,0.055,WON,2.36
2023-09-23,Lazio vs Monza,1-1,Draw,3.94,0.28,0.102,WON,2.94
2023-09-24,Empoli vs Inter,0-1,Home,11.25,0.314,2.532,LOST,-1.0
2023-09-24,Atalanta vs Cagliari,2-0,Away,7.88,0.462,2.641,LOST,-1.0
2023-09-24,Udinese vs Fiorentina,0-2,Away,2.36,0.752,0.776,WON,1.36
2023-09-24,Bologna vs Napoli,0-0,Home,3.48,0.683,1.377,WON,2.48
2023-09-24,Torino vs Roma,1-1,Away,2.61,0.442,0.154,WON,1.61
2023-09-26,Juventus vs Lecce,1-0,Draw,4.26,0.247,0.051,LOST,-1.0
2023-09-27,Cagliari vs Milan,1-3,Away,1.92,0.561,0.078,WON,0.92
2023-09-27,Inter vs Sassuolo,1-2,Draw,6.79,0.164,0.113,LOST,-1.0
2023-09-27,Napoli vs Udinese,4-1,Draw,5.07,0.213,0.08,LOST,-1.0
2023-09-28,Monza vs Bologna,0-0,Away,3.35,0.515,0.727,LOST,-1.0
2023-09-28,Genoa vs Roma,4-1,Home,4.1,0.396,0.625,LOST,-1.0
2023-10-01,Bologna vs Empoli,3-0,Home,1.73,0.675,0.168,WON,0.73
2023-10-01,Udinese vs Genoa,2-2,Home,2.25,0.542,0.221,WON,1.25
2023-10-01,Roma vs Frosinone,2-0,Away,8.39,0.306,1.567,LOST,-1.0
2023-10-02,Sassuolo vs Monza,0-1,Home,2.16,0.555,0.198,LOST,-1.0
2023-10-02,Torino vs Verona,0-0,Home,1.76,0.619,0.09,WON,0.76
2023-10-02,Fiorentina vs Cagliari,3-0,Away,6.48,0.278,0.8,WON,5.48
2023-10-07,Inter vs Bologna,2-2,Draw,5.7,0.185,0.054,WON,4.7
2023-10-08,Cagliari vs Roma,1-4,Home,5.03,0.322,0.62,WON,4.03
2023-10-08,Napoli vs Fiorentina,1-3,Away,5.54,0.542,2.002,WON,4.54
2023-10-08,Frosinone vs Verona,2-1,Home,2.24,0.545,0.221,WON,1.24
2023-10-08,Lazio vs Atalanta,3-2,Home,3.06,0.417,0.276,WON,2.06
2023-10-21,Torino vs Inter,0-3,Away,1.72,0.617,0.061,WON,0.72
2023-10-21,Sassuolo vs Lazio,0-2,Away,2.55,0.58,0.479,WON,1.55
2023-10-21,Verona vs Napoli,1-3,Home,5.86,0.327,0.917,LOST,-1.0
2023-10-22,Atalanta vs Genoa,2-0,Draw,4.4,0.239,0.053,LOST,-1.0
2023-10-22,Bologna vs Frosinone,2-1,Draw,3.92,0.277,0.087,LOST,-1.0
2023-10-23,Udinese vs Lecce,1-1,Away,3.9,0.279,0.087,LOST,-1.0
2023-10-23,Fiorentina vs Empoli,0-2,Draw,4.89,0.216,0.056,LOST,-1.0
2023-10-28,Lecce vs Torino,0-1,Home,2.79,0.695,0.94,WON,1.79
2023-10-28,Juventus vs Verona,1-0,Away,8.69,0.348,2.025,LOST,-1.0
2023-10-29,Monza vs Udinese,1-1,Draw,3.53,0.309,0.091,WON,2.53
2023-11-05,Cagliari vs Genoa,2-1,Home,2.76,0.62,0.712,WON,1.76
2023-11-05,Roma vs Lecce,2-1,Away,7.2,0.406,1.924,WON,6.2
2023-11-10,Sassuolo vs Salernitana,2-2,Draw,4.0,0.273,0.091,WON,3.0
2023-11-10,Genoa vs Verona,1-0,Away,5.09,0.209,0.066,LOST,-1.0
2023-11-12,Napoli vs Empoli,0-1,Home,1.29,0.837,0.08,WON,0.29
2023-11-12,Fiorentina vs Bologna,2-1,Away,3.98,0.33,0.315,LOST,-1.0
2023-11-12,Udinese vs Atalanta,1-1,Home,3.53,0.752,1.656,LOST,-1.0
2023-11-12,Lazio vs Roma,0-0,Home,3.0,0.453,0.36,WON,2.0
2023-11-12,Inter vs Frosinone,2-0,Away,16.0,0.465,6.44,LOST,-1.0
2023-11-25,Salernitana vs Lazio,2-1,Away,1.92,0.55,0.057,LOST,-1.0
2023-11-26,Cagliari vs Monza,1-1,Away,2.84,0.373,0.058,LOST,-1.0
2023-11-27,Verona vs Lecce,2-2,Home,2.88,0.409,0.178,WON,1.88
2023-11-27,Bologna vs Torino,2-0,Away,3.56,0.362,0.289,LOST,-1.0
2023-12-02,Lazio vs Cagliari,1-0,Draw,3.84,0.276,0.061,LOST,-1.0
2023-12-02,Milan vs Frosinone,3-1,Draw,4.88,0.228,0.114,LOST,-1.0
2023-12-03,Lecce vs Bologna,1-1,Away,2.62,0.408,0.068,LOST,-1.0
2023-12-03,Fiorentina vs Salernitana,3-0,Draw,4.88,0.216,0.054,LOST,-1.0
2023-12-03,Napoli vs Inter,0-3,Draw,3.56,0.3,0.069,LOST,-1.0
2023-12-15,Genoa vs Juventus,1-1,Away,2.11,0.547,0.154,LOST,-1.0
2023-12-16,Napoli vs Cagliari,2-1,Draw,4.98,0.225,0.12,LOST,-1.0
2023-12-17,Milan vs Monza,3-0,Draw,4.4,0.248,0.092,LOST,-1.0
2023-12-17,Bologna vs Roma,2-0,Away,3.46,0.313,0.084,LOST,-1.0
2023-12-22,Empoli vs Lazio,0-2,Away,1.93,0.656,0.266,LOST,-1.0
2023-12-22,Sassuolo vs Genoa,1-2,Away,3.14,0.378,0.187,WON,2.14
2023-12-22,Monza vs Fiorentina,0-1,Away,2.63,0.52,0.367,WON,1.63
2023-12-22,Salernitana vs Milan,2-2,Home,6.64,0.371,1.462,LOST,-1.0
2023-12-23,Frosinone vs Juventus,1-2,Away,1.74,0.606,0.055,WON,0.74
2023-12-29,Fiorentina vs Torino,1-0,Home,2.18,0.618,0.347,WON,1.18
2023-12-29,Napoli vs Monza,0-0,Away,6.03,0.639,2.851,LOST,-1.0
2023-12-29,Genoa vs Inter,1-1,Home,6.49,0.607,2.937,LOST,-1.0
2023-12-29,Lazio vs Frosinone,3-1,Away,6.07,0.251,0.523,LOST,-1.0
2023-12-30,Milan vs Sassuolo,1-0,Draw,4.86,0.23,0.117,LOST,-1.0
2024-01-06,Inter vs Verona,2-1,Away,17.0,0.349,4.931,WON,16.0
2024-01-06,Frosinone vs Monza,2-3,Draw,3.48,0.309,0.076,WON,2.48
2024-01-06,Lecce vs Cagliari,1-1,Home,2.27,0.84,0.906,WON,1.27
2024-01-07,Udinese vs Lazio,1-2,Home,3.63,0.425,0.542,LOST,-1.0
2024-01-07,Empoli vs Milan,0-3,Away,1.65,0.671,0.107,WON,0.65
2024-01-07,Salernitana vs Juventus,1-2,Home,7.28,0.366,1.662,WON,6.28
2024-01-07,Roma vs Atalanta,1-1,Away,3.56,0.44,0.568,WON,2.56
2024-01-07,Torino vs Napoli,3-0,Away,3.04,0.602,0.829,WON,2.04
2024-01-13,Napoli vs Salernitana,2-1,Draw,5.65,0.187,0.054,LOST,-1.0
2024-01-13,Monza vs Inter,1-5,Draw,5.06,0.227,0.151,LOST,-1.0
2024-01-14,Cagliari vs Bologna,2-1,Away,2.58,0.411,0.06,LOST,-1.0
2024-01-15,Atalanta vs Frosinone,5-0,Draw,5.25,0.201,0.055,LOST,-1.0
2024-01-20,Roma vs Verona,2-1,Away,8.29,0.514,3.264,WON,7.29
2024-01-20,Udinese vs Milan,2-3,Home,4.26,0.675,1.876,WON,3.26
2024-01-21,Empoli vs Monza,3-0,Away,2.93,0.368,0.077,LOST,-1.0
2024-01-21,Lecce vs Juventus,0-3,Away,1.81,0.594,0.075,WON,0.81
2024-01-28,Monza vs Sassuolo,1-0,Draw,3.41,0.314,0.069,WON,2.41
2024-01-28,Lazio vs Napoli,0-0,Away,3.49,0.539,0.882,WON,2.49
2024-01-28,Genoa vs Lecce,2-1,Away,3.98,0.272,0.082,LOST,-1.0
2024-01-28,Fiorentina vs Inter,0-1,Home,4.68,0.418,0.955,LOST,-1.0
2024-02-04,Torino vs Salernitana,0-0,Away,6.45,0.201,0.294,LOST,-1.0
2024-02-04,Napoli vs Verona,2-1,Away,7.6,0.245,0.861,LOST,-1.0
2024-02-04,Atalanta vs Lazio,3-1,Home,2.05,0.666,0.364,WON,1.05
2024-02-04,Inter vs Juventus,1-0,Home,1.85,0.613,0.134,LOST,-1.0
2024-02-09,Salernitana vs Empoli,1-3,Away,3.24,0.325,0.052,WON,2.24
2024-02-10,Cagliari vs Lazio,1-3,Away,2.18,0.483,0.054,WON,1.18
2024-02-11,Fiorentina vs Frosinone,5-1,Away,6.0,0.494,1.961,WON,5.0
2024-02-11,Bologna vs Lecce,4-0,Away,6.13,0.275,0.686,LOST,-1.0
2024-02-11,Monza vs Verona,0-0,Home,2.35,0.486,0.142,WON,1.35
2024-02-11,Genoa vs Atalanta,1-4,Home,4.18,0.616,1.577,WON,3.18
2024-02-11,Milan vs Napoli,1-0,Home,1.98,0.573,0.135,WON,0.98
2024-02-18,Lazio vs Bologna,1-2,Away,3.25,0.563,0.83,LOST,-1.0
2024-02-18,Empoli vs Fiorentina,1-1,Home,3.72,0.512,0.905,LOST,-1.0
2024-02-18,Udinese vs Cagliari,1-1,Away,4.56,0.502,1.289,WON,3.56
2024-02-18,Frosinone vs Roma,0-3,Home,3.85,0.381,0.466,LOST,-1.0
2024-02-18,Monza vs Milan,4-2,Home,5.16,0.259,0.335,LOST,-1.0
2024-02-25,Juventus vs Frosinone,3-2,Away,10.5,0.691,6.255,WON,9.5
2024-02-25,Cagliari vs Napoli,1-1,Home,4.65,0.756,2.517,WON,3.65
2024-02-25,Lecce vs Inter,0-4,Home,7.1,0.203,0.443,LOST,-1.0
2024-02-26,Roma vs Torino,3-2,Away,4.54,0.288,0.306,LOST,-1.0
2024-02-26,Fiorentina vs Lazio,2-1,Home,2.18,0.488,0.064,WON,1.18
2024-03-02,Torino vs Fiorentina,0-0,Away,3.13,0.336,0.051,LOST,-1.0
2024-03-03,Napoli vs Juventus,2-1,Away,3.54,0.305,0.078,LOST,-1.0
2024-03-09,Sassuolo vs Frosinone,1-0,Draw,3.56,0.315,0.122,LOST,-1.0
2024-03-10,Lecce vs Verona,0-1,Away,3.88,0.277,0.075,WON,2.88
2024-03-16,Udinese vs Torino,0-2,Away,2.81,0.435,0.222,WON,1.81
2024-03-16,Monza vs Cagliari,1-0,Away,3.95,0.457,0.805,WON,2.95
2024-03-16,Frosinone vs Lazio,2-3,Draw,3.42,0.314,0.075,LOST,-1.0
2024-03-16,Salernitana vs Lecce,0-1,Home,3.69,0.464,0.714,WON,2.69
2024-03-30,Torino vs Monza,1-0,Away,4.85,0.226,0.095,LOST,-1.0
2024-04-01,Bologna vs Salernitana,3-0,Home,1.28,0.837,0.071,WON,0.28
2024-04-01,Cagliari vs Verona,1-1,Away,3.9,0.502,0.957,LOST,-1.0
2024-04-01,Sassuolo vs Udinese,1-1,Home,2.93,0.772,1.262,WON,1.93
2024-04-01,Lecce vs Roma,0-0,Home,3.92,0.434,0.703,LOST,-1.0
2024-04-01,Inter vs Empoli,2-0,Away,17.05,0.373,5.359,LOST,-1.0
2024-04-06,Empoli vs Torino,3-2,Home,3.72,0.464,0.727,WON,2.72
2024-04-06,Milan vs Lecce,3-0,Away,9.56,0.458,3.377,LOST,-1.0
2024-04-06,Roma vs Lazio,1-0,Home,2.14,0.715,0.53,WON,1.14
2024-04-07,Frosinone vs Bologna,0-0,Away,1.93,0.561,0.082,LOST,-1.0
2024-04-07,Monza vs Napoli,2-4,Home,4.6,0.53,1.439,WON,3.6
2024-04-07,Verona vs Genoa,1-2,Away,3.13,0.518,0.62,WON,2.13
2024-04-07,Juventus vs Fiorentina,1-0,Away,5.26,0.334,0.759,WON,4.26
2024-04-13,Torino vs Juventus,0-0,Away,2.41,0.439,0.058,LOST,-1.0
2024-04-13,Lecce vs Empoli,1-0,Away,4.31,0.273,0.176,LOST,-1.0
2024-04-14,Napoli vs Frosinone,2-2,Draw,5.8,0.186,0.076,WON,4.8
2024-04-15,Fiorentina vs Genoa,1-1,Home,1.82,0.68,0.237,LOST,-1.0
2024-04-15,Atalanta vs Verona,2-2,Away,7.63,0.2,0.525,LOST,-1.0
2024-04-21,Monza vs Atalanta,1-2,Draw,3.83,0.276,0.056,LOST,-1.0
2024-04-25,Udinese vs Roma,1-2,Away,2.38,0.455,0.084,WON,1.38
2024-04-27,Lecce vs Monza,1-1,Home,2.03,0.599,0.217,WON,1.03
2024-04-27,Lazio vs Verona,1-0,Away,6.01,0.258,0.548,LOST,-1.0
2024-05-03,Torino vs Bologna,0-0,Away,3.08,0.353,0.088,LOST,-1.0
2024-05-05,Verona vs Fiorentina,2-1,Home,3.58,0.324,0.16,LOST,-1.0
2024-05-05,Milan vs Genoa,3-3,Away,7.85,0.297,1.329,LOST,-1.0
2024-05-05,Cagliari vs Lecce,1-1,Away,3.77,0.442,0.667,LOST,-1.0
2024-05-05,Empoli vs Frosinone,0-0,Home,2.53,0.664,0.681,LOST,-1.0
2024-05-05,Roma vs Juventus,1-1,Home,2.98,0.426,0.269,LOST,-1.0
2024-05-10,Frosinone vs Inter,0-5,Away,1.83,0.591,0.081,WON,0.83
2024-05-11,Milan vs Cagliari,5-1,Draw,4.28,0.266,0.138,LOST,-1.0
2024-05-12,Atalanta vs Roma,2-1,Home,1.88,0.835,0.571,LOST,-1.0
2024-05-12,Verona vs Torino,1-2,Home,3.3,0.433,0.428,WON,2.3
2024-05-12,Lazio vs Empoli,2-0,Away,5.72,0.396,1.264,WON,4.72
2024-05-12,Genoa vs Sassuolo,2-1,Home,2.34,0.514,0.202,WON,1.34
2024-05-12,Juventus vs Salernitana,1-1,Away,16.01,0.157,1.507,LOST,-1.0
2024-05-18,Lecce vs Atalanta,0-2,Away,2.04,0.518,0.057,WON,1.04
2024-05-18,Torino vs Milan,3-1,Away,3.16,0.349,0.102,LOST,-1.0
2024-05-19,Sassuolo vs Cagliari,0-2,Home,2.56,0.472,0.208,LOST,-1.0
2024-05-19,Monza vs Frosinone,0-1,Home,3.09,0.628,0.941,WON,2.09
2024-05-19,Udinese vs Empoli,1-1,Home,2.01,0.62,0.246,LOST,-1.0
2024-05-19,Inter vs Lazio,1-1,Away,5.82,0.353,1.054,WON,4.82
2024-05-19,Roma vs Genoa,1-0,Away,7.03,0.328,1.303,WON,6.03
2024-05-20,Salernitana vs Verona,1-2,Draw,3.93,0.276,0.086,LOST,-1.0
2024-05-23,Cagliari vs Fiorentina,2-3,Draw,3.89,0.284,0.105,LOST,-1.0
2024-05-25,Juventus vs Monza,2-0,Draw,4.54,0.258,0.17,LOST,-1.0
2024-05-25,Milan vs Salernitana,3-3,Draw,10.94,0.102,0.113,WON,9.94
2024-05-26,Atalanta vs Torino,3-0,Home,2.39,0.744,0.779,LOST,-1.0
2024-05-26,Napoli vs Lecce,0-0,Away,8.21,0.334,1.742,WON,7.21
2024-05-26,Empoli vs Roma,2-1,Away,3.27,0.691,1.259,LOST,-1.0
2024-05-26,Frosinone vs Udinese,0-1,Home,2.63,0.689,0.811,LOST,-1.0
2024-05-26,Lazio vs Sassuolo,1-1,Away,9.46,0.288,1.722,LOST,-1.0
2024-05-26,Verona vs Inter,2-2,Home,7.37,0.402,1.961,WON,6.37
2024-06-02,Atalanta vs Fiorentina,2-3,Draw,4.57,0.239,0.091,LOST,-1.0
